Câu hỏi ,Trả lời,Pattern
Phó khoa công nghệ thông tin là ai ,Phó giáo sư tiến sĩ hoàng văn dũng với thông tin liên hệ dunghv@hcmute.edu.vn,photruongkhoa
Cách lấy đề thi và đáp án của các năm thì làm sao ,vào trang khoa công nghệ thông tin với trang website fithcmuteedu vào mục sinh viên ,dethidapan
Phòng Tuyển sinh và CTSV chịu trách nhiệm cấp những loại giấy tờ nào cho SV?,"Phòng Tuyển sinh và CTSV chịu trách nhiệm cấp các loại giấy tờ & giải quyết các yêu cầu sau đây cho SV: Giấy chứng nhận SV (v/v bổ túc hồ sơ tạm hoãn nghĩa vụ quân sự, xin việc làm, xin đi học, xin tạm trú, đi xe buýt, vay tín dụng ưu đãi (mẫu số 01/TDSV), bổ túc hồ sơ địa phương,…); xác nhận sổ ưu đãi giáo dục, đào tạo; giải quyết yêu cầu của SV về tạm dừng học tập, xin học tiếp sau tạm dừng, xin thôi học, xin chuyển trường; giấy giới thiệu,…",giayto
"Để được cấp giấy tờ, SV phải làm gì?","phòng Tuyển sinh và CTSV triển khai đăng ký cấp giấy chứng nhận SV online trên trang online.hcmute.edu.vn, SV đăng ký online tại bất cứ đâu và nhận giấy đăng ký tại phòng Tuyển sinh và CTSV theo đúng thời gian hẹn.",SV_giayto
Phải mất thời gian bao lâu để được cấp giấy tờ?,"Đối với giấy tờ do lãnh đạo phòng Tuyển sinh và CTSV ký: SV xin buổi sáng, nhận kết quả vào buổi chiều; SV xin buổi chiều, nhận kết quả vào sáng hôm sau (nếu xin vào sáng thứ 7, nhận kết quả vào sáng thứ 2 tuần kế tiếp). Đối với giấy tờ do Ban giám hiệu ký: SV nhận kết quả sau 03 ngày.",
Em có nhu cầu in bảng điểm có xác nhận của trường thì phải làm sao,"Nếu em có nhu cầu in bảng điểm thì em liên hệ Phòng Đào tạo, bộ phận tiếp sinh viên do Cô Hoa phụ trách (A1-202) để thực hiện việc đăng ký in. Thời gian trả bảng điểm sau đó 01 ngày",
"Em muốn công chứng bằng tốt nghiệp, chứng chỉ sư phạm thì phải làm sao?","Em photo số bản cần công chứng. Sau đó, em nộp bản gốc kèm các bản photo tại Phòng Đào tạo, bộ phận tiếp sinh viên do Cô Hoa phụ trách (A1-202) và nhận kết quả sau đó.",
Yêu cầu về hồ sơ của SV khi nhập học gồm những gì?,"Giấy báo nhập học (bản chính); Lý lịch SV (dán hình & xác nhận của chính quyền địa phương hoặc cơ quan quản lý); Bản sao bằng TN, chứng nhận TN (có thị thực); Bản sao học bạ (có thị thực); Bản sao giấy khai sinh; Bản sao hộ khẩu (hưởng ưu tiên theo hộ khẩu thường trú); Giấy chứnh nhận diện chính sách (diện ưu tiên theo đối tượng).",
Nhà tuyển dụng khi cần kiểm tra văn bằng của sinh viên đã tốt nghiệp có đúng do Trường cấp hay không thì làm thế nào? ,"Tra cứu trên web tại địa chỉ: http://online.hcmute.edu.vn/; Mục: Tra cứu văn bằng,Cần trả lời trực tiếp liên hệ số đt: 08 37221223 (sau khi nghe tiếng tổng đài nhấn số  48129).",
Khi bị mất bằng tốt nghiệp hoặc bằng tốt nghiệp bị hư hỏng thì phải làm sao? ,"Người học có thể trực tiếp yêu cầu cấp bản sao từ sổ gốc văn bằng, chứng chỉ hoặc ủy quyền hợp pháp cho người khác.Điện thoại: (08) 37221223 (chờ lời giới thiệu, nhấn tiếp số 4, sau đó nhấn số nội bộ 8129)  ",
Đã tốt nghiệp nhưng chưa nhận bằng vào đợt phát bằng chính thức thì sẽ nhận bằng vào ngày nào? ,Sinh viên liên hệ Phòng Đào tạo (A1-202) vào thứ 4 hàng tuần để nhận bằng tốt nghiệp (Sinh viên nhớ mang theo chứng minh nhân dân).,
Khi không trực tiếp đến nhận bằng tốt nghiệp được thì phải làm sao?,Sinh viên có thể ủy quyền cho người khác đến nhận (giấy ủy quyền có xác nhận của địa phương nơi cư trú),
Về việc tạm dừng học tập có thời hạn?,"SV được phép tạm dừng học tập khi có lý do chính đáng; Thời gian tạm dừng tính vào thời gian đào tạo (trừ trường hợp tạm dừng để thi hành nghĩa vụ quân sự, hoặc có lý do chính đáng theo quy định của quy chế); Thời gian tạm dừng tối đa bằng thời gian kéo dài của khóa học. Mỗi lần tạm dừng từ 1 đến 2 học kỳ. Hai lần tạm dừng không được liền kề nhau trừ các trường hợp đặc biệt, nhà trường sẽ xem xét cụ thể.",
Đề nghị cho biết quy định đóng học phí khi tạm dừng?,"SV Nộp đơn trước khi học kỳ bắt đầu: Không phải đóng học phí; SV Nộp đơn trong tuần 1 & 2 mỗi học kỳ: Được rút môn học (RT), đóng 20% học phí học kỳ; Nộp đơn trong tuần 3 & 4 mỗi học kỳ: Được rút môn học (RT), đóng 50% học phí học kỳ; Nộp đơn sau tuần thứ 4 mỗi học kỳ: Được rút môn học (RT), đóng 100% học phí học kỳ.",
Quy định mức thu học phí khối ngành kỹ thuật theo Nghị định,Đối với sinh viên đại trà thì học phí 693k cho 1 chỉ. Đối với sinh viên clc 800k đến 900k trên 1 tín chỉ ,
Mức thu học phí của trường như thế nào?.,"Vào đầu năm học, căn cứ quy định hiện hành của Nhà nước, Hiệu trưởng công bố mức thu học phí của các hệ, bậc đào tạo trong toàn trường. Trường ta thu học phí theo tín chỉ, nếu quy về hệ niên chế tương đương như mức thu theo Nghị định 49",
Xin cho biết quy định của Nhà trường về thời gian thu học phí?.,"Mỗi học kỳ thu 2 đợt (trừ diện đăng ký nộp theo tháng). Đợt I: kéo dài 1,5 tháng tính từ đầu mỗi học kỳ; đợt II: kéo dài 1,5 tháng tính từ giữa học kỳ đến trước 01 tuần bắt đầu kỳ thi của mỗi học kỳ",
SV có được gia hạn thời gian đóng học phí không?.,"SV được phép gia hạn thời gian nộp học phí. Để được xét gia hạn, SV làm đơn theo mẫu nộp phòng Kế hoạch-Tài chính chậm nhất trước ngày hết hạn thu học phí một tuần (theo đợt).",
Xin cho biết quy định của trường về xử lý kỷ luật đối với SV vi phạm quy định đóng học phí?.,"Khiển trách trước toàn trường đối với SV không đóng học phí đợt I đúng quy định (SV không đóng học phí hoặc đóng chưa đủ mức tối thiểu của đợt I do Hiệu trưởng quy định vào đầu mỗi năm học), hoặc đóng học phí đợt I nhưng không đóng học phí đợt II. Cảnh cáo trước toàn trường đối với SV không đóng học phí đợt I đúng quy định và không đóng học phí đợt II. Xóa tên khỏi danh sách SV đối với các trường hợp còn nợ học phí, nghỉ học không phép quá quy định (từ một học kỳ).",
SV còn nợ học phí có được ĐKMH không?,"SV không được ĐKMH nếu còn nợ học phí của học kỳ trước (đưa ra khỏi danh sách SV học kỳ). Trong tuần ĐKMH, SV hoàn tất học phí nợ, trường cho phép khôi phục tên và được ĐKMH. SV hoàn tất học phí nợ sau khi hết hạn ĐKMH, được phép làm đơn xin tạm dừng học tập bảo lưu kết quả. ",
Em muốn đăng ký học thêm các môn ngoài chương trình đào tạo thì em có được miễn học phí không?,"Sinh viên thuộc hệ sư phạm sẽ được miễn học phí học lần đầu các môn học trong chương trình đào tạo. Nếu em đăng ký thêm các môn học khác ngoài chương trình thì em phải đóng học phí bằng mức phí học lại. Em có thể đăng ký học cùng lúc 2 chương trình đào tạo và khi ra trường thì nhận 2 bằng tốt nghiệp. Học ngành hai em phải đóng học phí, mức phí theo quy định của nhà trường",
"Xin cho biết các văn bản pháp quy liên quan đến miễn, giảm học phí?.","Nghị định số 49/2010/NĐ-CP ngày 14/5/2010 của Chính phủ quy định về miễn, giảm học phí, hỗ trợ chi phí học tập và cơ chế thu, sử dụng học phí đối với cơ sở giáo dục thuộc hệ thống giáo dục quốc dân từ năm học 2010-2011 đến năm học 2014-2015; Nghị định số 74/2013/NĐ-CP ngày 15/7/2013 của Chính phủ về sửa đổi, bổ sung một số điều của Nghị định số 49/2010/NĐ-CP; Thông tư Liên tịch số 20/2014/TTLT-BGDĐT-BTC-BLĐTBXH ngày 30/5/2014 Hướng dẫn thực hiện Nghị định 49/2010/NĐ-CP & Nghị định 74/2013/NĐ-CP.",
Xin cho biết các đối tượng được miễn học phí?.,"Người có công với cách mạng và thân nhân của người có công với cách mạng,Anh hùng Lực lượng vũ trang nhân dân, Anh hùng Lao động trong kháng chiến; thương binh, người hưởng chính sách như thương binh, thương binh loại B; con của người hoạt động cách mạng trước ngày 01/01/1945,SV mồ côi cả cha lẫn mẹ không nơi nương tựa. SV bị tàn tật, khuyết tật có khó khăn về kinh tế. SV là người dân tộc thiểu số thuộc hộ nghèo hoặc hộ cận nghèo theo quy định của Thủ tướng Chính phủ. SV là người dân tộc thiểu số rất ít người, ở vùng có điều kiện kinh tế - xã hội khó khăn và đặc biệt khó khăn ",
Xin cho biết các đối tượng được giảm 50% học phí?.,"SV là con cán bộ, công nhân, viên chức mà cha hoặc mẹ bị tai nạn lao động hoặc mắc bệnh nghề nghiệp được hưởng trợ cấp thường xuyên",
"Xin cho biết việc giảm 70% học phí cho SV học các ngành nặng nhọc, độc hại áp dụng như thế nào?.","Việc giảm 70% học phí cho học sinh học các nghề nặng nhọc, độc hại chỉ áp dụng cho hệ thống các trường nghề thuộc Bộ Lao động Thương binh & xã hội. SV học các ngành của trường Đại học SPKT Tp. Hồ Chí Minh không thuộc diện giảm 70% học phí",
"Xin cho biết các đối tượng được hưởng trợ cấp ưu đãi trong giáo dục, đào tạo?.","Các đối tượng được hưởng trợ cấp ưu đãi trong giáo dục, đào tạo: SV là anh hùng lực lượng vũ trang, anh hùng lao động, thương binh, hưởng chính sách như thương binh; SV là con liệt sỹ, con thương binh, con của bệnh binh, con của người hưởng chính sách như thương binh…",
"Để được cấp sổ ưu đãi trong giáo dục, đào tạo, SV phải làm thủ tục gì?.","SV liên hệ Phòng Lao động Thương binh & Xã hội địa phương (nơi đăng ký hộ khẩu thường trú) để được hướng dẫn làm các thủ tục & nhận sổ ưu đãi giáo dục, đào tạo.",
"Để được nhận tiền ưu đãi trong giáo dục, đào tạo, SV phải làm gì?.","Theo học kỳ, SV trình sổ ưu đãi giáo dục, đào tạo tại phòng phòng Tuyển sinh và CTSV để Nhà trường xác nhận vào sổ. Sau đó SV nộp sổ ưu đãi giáo dục, đào tạo cho địa phương (phòng Lao động Thương binh & Xã hội cấp huyện, quận). SV nhận tiền trợ cấp ưu đãi tại địa phương.",
Đề nghị cho biết các đối tượng được hưởng trợ cấp xã hội và mức trợ cấp hàng tháng?.,"Có bốn đối tượng được hưởng trợ cấp xã hội với mức trợ cấp hàng tháng như sau: SV là người dân tộc thiểu số có hộ khẩu thường trú từ 3 năm trở lên tại vùng đặc biệt khó khăn theo quy định của Nhà nước (a), mức trợ cấp: 140.000đ/tháng; SV mồ côi cả cha lẫn mẹ, không nơi nương tựa và có hoàn cảnh kinh tế khó khăn (b); SV bị tàn tật giảm khả năng lao động từ 41% trở lên, có hoàn cảnh kinh tế khó khăn (C); SV thuộc gia đình hộ đói (d), mức trợ cấp đều là: 100.000đ/tháng",
"Em thuộc diện được miễn giảm học phí, nhưng sao học kỳ hè em không được miễn giảm?","Em nên liên hệ Phòng Công tác học sinh, sinh viên để được giải quyết. Những trường hợp bị sót, P.TS%CTSV và phòng Đào tạo sẽ phối hợp điều chỉnh học phí cho em",
"Để được hưởng trợ cấp xã hội, SV phải nộp hồ sơ gồm các giấy tờ gì?.","SV phải nộp hồ sơ, gồm: Đơn xét hưởng trợ cấp xã hội theo mẫu (nhận mẫu đơn tại phòng Tuyển sinh và CTSV hoặc downloat trên mạng của phòng); Bản sao giấy khai sinh;Bản sao hộ khẩu, giấy xác nhận của địa phương về thời gian thường trú (đối tượng mục a); giấy chứng tử của cha mẹ (đối tượng mục b); biên bản giám định của Hội đồng Y khoa cấp tỉnh, thành phố trực thuộc Trung ương (đối tượng mục c); giấy xác nhận của địa phương về hoàn cảnh kinh tế gia đình khó khăn (đối tượng mục b,c); sổ hộ đói (đối tượng mục d).",
"Xin cho biết địa điểm, thời gian nộp hồ sơ?","SV nộp hồ sơ xét trợ cấp xã hội vào 02 tháng đầu mỗi học kỳ tại khoa/TT. Các khoa/TT xét, lập danh sách & chuyển hồ sơ về phòng Tuyển sinh và CTSV vào đầu tháng 3 và tháng 11 hàng năm. Việc nhận và xét hồ sơ hưởng trợ cấp xã hội cho SV được tiến hành theo từng học kỳ. SV hoàn tầt hồ sơ ở học kỳ nào, được hưởng trợ cấp xã hội từ học kỳ đó trở đi. Không giải quyết truy hưởng của học kỳ trước",
"Mỗi học kỳ, SV được nhận tiền hưởng trợ cấp xã hội là mấy tháng?.",SV được nhận tiền hưởng trợ cấp xã hội 06 tháng/học kỳ; 12 tháng/năm. ,
SV nhận tiền trợ cấp xã hội tại trường hay ở địa phương?.,"SV nhận trợ cấp xã hội tại Trường, không nhận ở địa phương. Phòng Kế hoạch Tài chính thực hiện việc chi trợ cấp xã hội qua tài khoản Ngân hàng của SV. ",
"Xin cho biết ngoài trợ cấp của nhà nước, hàng năm Trường có trợ cấp cho SV không?.","Hàng năm Nhà trường dành khoảng năm trăm triệu đồng để trợ cấp cho SV có hoàn cảnh khó khăn, SV trong vùng bị thiên tai,…",
Em đang gặp khó khăn không đủ tiền để đóng học phí. Vậy em cần làm gì để có thể đóng học phí chậm hơn quy định mà không bị kỷ luật không ạ?,"Đối với các bạn có hoàn cảnh khó khăn nhưng không thuộc diện chính sách  bạn có thể:Làm đơn gửi Phòng Kế hoạch tài chính thông qua Khoa, Phòng TS&CTSV để hoãn thời gian nộp tiền học phí,Bạn có thể tìm hiểu thủ tục vay vốn ngân hàng, Chính sách xã hội vay tiền nếu thực sự khó khăn,Liên hệ nhờ sự hỗ trợ từ các quỹ hỗ trợ sinh viên gặp hoàn cảnh khó khăn của khoa, phòng ban, Đoàn thể.",
"Xin cho biết đối tượng, tiêu chuẩn xét cấp học bổng khuyến khích học tập?.","SV hệ chính quy trình độ đại học, cao đẳng học đúng tiến độ; có số tín chỉ đăng ký học & dự thi học kỳ ≥ 15 (trường hợp vì lý do tổ chức đào tạo, cả lớp có số tín chỉ < 15; hoặc ở học kỳ cuối khóa, SV đăng ký hết các môn học mà số tín chỉ vẫn < 15, khoa/TT phối hợp với phòng Tuyển sinh và CTSV trình Hiệu trưởng xem xét quyết định); có kết quả học tập & rèn luyện học kỳ đạt từ loại khá trở lên; không có điểm tổng kết môn học trong học kỳ <5 (đối với các môn Giáo dục Thể chất và Giáo dục Quốc phòng không có điểm thi lần 1 <5); không bị kỷ luật từ mức khiển trách trở lên.",
Xin cho biết mức (suất/tháng) học bổng khuyến khích học tập của từng loại là bao nhiêu?.,"Mức học bổng đang áp dụng tại Trường như sau: loại khá: 650.000đ/tháng/suất với trình độ đào tạo đại học; 500.000đ/tháng/suất với trình độ đào tạo cao đẳng. Học bổng loại khá được cấp cho những SV có điểm trung bình chung học tập xếp hạng khá trở lên (từ 7,00 điểm trở lên), điểm rèn luyện đạt loại khá trở lên (từ 70 điểm trở lên) và nằm trong chỉ tiêu quỹ học bổng cho phép. Mức học bổng loại giỏi: 800.000đ/tháng/suất với trình độ đào tạo đại học; 650.000đ/tháng/suất với trình độ đào tạo cao đẳng. Học bổng loại giỏi được cấp cho những SV có điểm trung bình chung học tập xếp hạng giỏi (từ 8,50 đến 10 điểm), điểm rèn luyện đạt loại xuất sắc (từ 90 đến 100 điểm) và nằm trong chỉ tiêu quỹ học học bổng cho phép",
"Xin cho biết đối tượng, tiêu chuẩn & quy trình xét cấp học bổng tài trợ?.","Đối tượng xét cấp, ưu tiên SV có hoàn cảnh khó khăn, đạt kết quả cao trong học tập, rèn luyện. Tiêu chí cụ thể do đơn vị tài trợ học bổng đề xuất. Chỉ tiêu, cấp theo khoa/TT và yêu cầu của đơn vị tài trợ (nếu có). Quy trình: SV nộp hồ xin xét, cấp học bổng tài trợ tại khoa/TT; Các khoa/TT xét, lập danh sách & chuyển hồ sơ về phòng Tuyển sinh và CTSV trong thời gian quy định; Phòng Tuyển sinh và CTSV tổng hợp và trình Hiệu trưởng xem xét và ra quyết định cấp học bổng tài trợ cho SV.",
Sinh viên hệ Sư phạm học môn tương đương lần đầu có phải đóng phí không?,"Nếu môn học có trong danh mục môn tương đương của Khoa thì Sinh viên hệ sư phạm học môn tương đương lần đầu không phải đóng học phí.Trong trường hợp chương trình tính học phí môn học ngoài chương trình, Sinh viên liên hệ Phòng Đào tạo A1-202 làm đơn khiếu nại. Phòng Đào tạo sẽ xem xét lại môn học tương đương và trả lời theo đơn. Sinh viên nhận lại đơn trong vòng 01 ngày.",
"Xin cho biết, SV chính quy cần tích lũy bao nhiêu ngày Công tác xã hội (CTXH)?","SV chính quy phải tích lũy số ngày CTXH tối thiểu/khóa đào tạo là 8 buổi CTXH đối với khóa đào tạo từ 04 năm trở lên; 4 buổi CTXH với khóa đào tạo dưới 04 năm.Trường hợp vì lý do sức khỏe, nên SV rất khó khăn hoặc không thể tham gia các hoạt động công tác xã hội, SV phải làm đơn kèm xác nhận về tình trạng sức khỏe của cơ quan y tế (từ cấp huyện trở lên) để Nhà trường xem xét việc miễn, giảm tham gia hoạt động công tác xã hội.",
Thời gian để thực hiện tích lũy ngày CTXH trong khóa đào tạo như thế nào?.,"Việc tích lũy ngày CTXH của SV được thực hiện trong suốt khóa học; SV tự quyết định thời gian hoàn tất việc tích lũy số ngày CTXH. Nhà trường khuyến cáo SV không nên để dồn vào cuối khóa.SV tích lũy đủ số ngày CTXH theo quy định, mới được xét công nhận tốt nghiệp.",
Em thường xuyên tham gia các hoạt động CTXH tại địa phương nơi em cư trú. Vậy làm thể nào để em có thể có điểm CTXH của trường?,"Trước khi tham gia hoạt động, đơn vị tổ chức hoạt động tại địa phương phải thông tin bằng văn bản (có chữ ký và đóng dấu) về nhà trường (đầu mối là P. TS&CTSV, Đoàn TN, Hội SV trường) xác nhận sẽ có những SV nào của trường tham gia hoạt động.Trong thời gian hoạt động, đơn vị tổ chức thực hiện chấm công cho SV tham gia hoạt động.Sau khi hoạt động kết thúc, trong thời gian 14 ngày (02 tuần) đơn vị tổ chức hoạt động phải gởi chứng nhận SV tham gia hoạt động (có đánh giá mức độ hoàn thành công việc) và bản chấm công về phòng Tuyển sinh và CTSV để ghi nhận điểm CTXH cho SV.",
Điểm rèn luyện dùng để làm gì?,"Kết quả phân loại rèn luyện toàn khoá học của từng SV được lưu trong hồ sơ quản lý SV của trường và ghi vào bảng điểm kết quả học tập và rèn luyện của từng SV khi ra trường;Kết quả rèn luyện của học kỳ được sử dụng để xét học bổng khuyến khích học tập cho SV trong học kỳ đó;Kết quả rèn luyện của năm học, khóa học được sử dụng để xét khen thưởng năm học, khóa học cho SV;SV được cấp giấy chứng nhận kết quả rèn luyện theo yêu cầu;SV bị xếp loại rèn luyện kém trong cả năm học, phải tạm ngừng học tập một năm ở năm học tiếp theo và nếu bị xếp loại rèn luyện kém cả năm lần thứ hai thì sẽ bị buộc thôi học..",
"Những cá nhân, đơn vị nào được phân quyền đánh giá điểm rèn luyện SV?","Các đơn vị quản lý SV và các đơn vị (Phòng, ban, khoa/TT, Đoàn thể) có liên quan đến các hoạt động học tập và rèn luyện của SV đều được phân quyền đánh giá rèn luyện của SV.",
"Em là lớp trưởng, em nên làm gì để điểm rèn luyện của em và lớp em được cao?","Em nên thường xuyên nắm bắt các thông tin từ các đơn vị trong trường có tổ chức các hoạt động, thông tin các hoạt động đến các bạn SV trong lớp để các bạn tham gia các hoạt động, tích luỹ điểm rèn luyện trong học kỳ.Em nên tham mưu với khoa tổ chức các hoạt động học thuật, phong trào, CTXH để SV tham gia.Quan tâm, phản hồi các hoạt động SV có tham gia mà các đơn vị chưa công nhận, qua đó bảo vệ quyền lợi của các bạn SV.",
"Xin cho biết về việc chuyển ngành sau khi thí sinh trúng tuyển, nhập học?.","Trường ĐHSPKT Tp. Hồ Chí Minh tuyển sinh theo ngành, nên không giải quyết cho chuyển ngành sau khi thí sinh trúng tuyển, nhập học. Trường hợp đặc biệt và xin chuyển ngành học tại khoa Đào tạo chất lượng cao, SV làm đơn trình Hiệu trưởng xem xét (với điều kiện cùng khối thi, ngành chuyển đến có điểm chuẩn ≤ điểm chuẩn ngành đã trúng tuyển và còn chỉ tiêu).",
Xin cho biết về việc SV theo học hai chương trình?.,"Điều 17, Quy chế 43 quy định chi tiết về việc học song song hai chương trình. Hiện tại, nhà trường áp dụng chế độ học cùng một lúc hai chương trình cho những SV có nhu cầu và hội đủ các điều kiện. SV có nhu cầu, liên hệ phòng Đào tạo để được hướng dẫn.",
Xin cho biết về việc SV học văn bằng hai?. ,"Từ năm học 2008-2009, trường xin phép và được Bộ Giáo dục & Đào tạo chấp thuận cho đào tạo văn bằng hai ngành Công nghệ Thông tin. Các ngành khác chưa xin ý kiến của Bộ, nên chưa triển khai. Dự kiến kiến trong thời gian tới mở thêm một số ngành.",
